"题目"，"朝代"，"作者"，"内容"
"登戎州江楼闲望","唐末宋初","幸夤逊","满目江山四望幽，白云高卷嶂烟收。日回禽影穿疏木，风递猿声入小楼。远岫似屏横碧落，断帆如叶截中流。"
"雪","唐末宋初","幸夤逊","片片飞来静又闲，楼头江上复山前。飘零尽日不归去，帖破清光万里天。"
"云","唐末宋初","幸夤逊","因登巨石知来处，勃勃元生绿藓痕。静即等闲藏草木，动时顷刻遍乾坤。横天未必朋元恶，捧日还曾瑞至尊。不独朝朝在巫峡，楚王何事谩劳魂。"
"句 其一","唐末宋初","幸夤逊","若教作镇居中国，争得泥金在泰山。"
"句 其二","唐末宋初","幸夤逊","才闻暖律先偷眼，既待和风始展眉。"
"句 其三","唐末宋初","幸夤逊","嚼处春冰敲齿冷，咽时雪液沃心寒。"
"句 其四","唐末宋初","幸夤逊","蒙君知重惠琼实，薄起金刀钉玉深。"
"句 其五","唐末宋初","幸夤逊","深妆玉瓦平无垄，乱拂芦花细有声。"
"句 其六","唐末宋初","幸夤逊","片逐银蟾落醉觥。"
"句 其七","唐末宋初","幸夤逊","巧剪银花乱，轻飞玉叶狂。"
"句 其八","唐末宋初","幸夤逊","寒艳芳姿色尽明。"
"送武补阙","唐末宋初","襄阳妓","弄珠滩上欲销魂，独把离怀寄酒尊。无限烟花不留意，忍教芳草怨王孙。"
"听琴","唐末宋初","王元","拂尘开素匣，有客独伤时。古调俗不乐，正声君自知。寒泉出涧涩，老桧倚风悲。纵有来听者，谁堪继子期。"
"怀翁宏","唐末宋初","王元","独夜思君切，无人知此情。沧州归未得，华发别来生。孤馆木初落，高空月正明。远书多隔岁，独念没前程。"
"题邓真人遗址","唐末宋初","王元","三千功满仙升去，留得山前旧隐基。但见白云长掩映，不知浮世几兴衰。松稍风触霓旌动，棕叶霜沾鹤翅垂。近代无人寻异事，野泉喷月泻秋池。"
"句","唐末宋初","王元","江城卖药常将鹤，古寺看碑不下驴。"
"句","唐末宋初","王元","伴行唯瘦鹤，寻寺入深云。"
"句","唐末宋初","王元","伴行惟瘦鹤，寻步入深云。"
"下瞿塘寄时同年","唐末宋初","王周","春寒天气下瞿塘，大壤溪前柳线长。须信孤云是孤宦，莫将乡思附归艎。"
"小园桃李始花偶以成咏","唐末宋初","王周","桃李栽成艳格新，数枝留得小园春。半红半白无风雨，随分夭容解笑人。"
"石首山","唐末宋初","王周","首出崔嵬占上游，迥存浓翠向荆州。空闻别有回山力，却见长江曲尺流。"
"会哙岑山人","唐末宋初","王周","渝州江上忽相逢，说隐西山最上峰。略坐移时又分别，片云孤鹤一枝筇。"
"施南太守以猿儿为寄作诗答之","唐末宋初","王周","虞人初获酉江西，长臂难将意马齐。今日未啼头已白，不堪深入白云啼。"
"施南路偶书","唐末宋初","王周","大石岭头梅欲发，南陵陂上雪初飞。苦无酒解愁成阵，又附兰桡向秭归。"
"湖口县","唐末宋初","王周","柴桑分邑载图经，屈曲山光展画屏。最是芦洲东北望，人家残照隔烟汀。"
"藕池阻风寄同行抚牧裘驾","唐末宋初","王周","船樯相望荆江中，岸芦汀树烟濛濛。路闻堤缺水如箭，未知何日生南风。"
"自和","唐末宋初","王周","一片残阳景，朦胧淡月中。兰芽纡嫩紫，梨颊抹生红。琴阮资清格，冠簪养素风。烟霄半知足，吏隐少相同。"
"和程刑部三首 其一 公会亭","唐末宋初","王周","公事公言地，标名姓必臧。江山如得助，谈笑若为妨。均赋乡原肃，详刑郡邑康。官箴居座右，夙夜算难忘。"
"和程刑部三首 其三 清涟閤","唐末宋初","王周","照影翻窗绮，层纹滉额波。丝青迷岸柳，茸绿蘸汀莎。片雪翘饥鹭，孤香卷嫩荷。凭栏堪入画，时听竹枝歌。"
"和程刑部三首 其二 碧鲜亭","唐末宋初","王周","飋飋笼清籁，萧萧锁翠阴。向高思尽节，从直美虚心。迥砌滋苍藓，幽窗伴素琴。公馀时引步，一径静中深。"
"志峡船具诗 其四 百丈","唐末宋初","王周","少尝侍先君，馀闲诵白氏。始得入峡诗，深味作诗旨。云有万仞山，云有千丈水。自念坎壈时，尤多兢慎理。山束峡如口，水漱石如齿。孤舟行其中，薄冰犹坦履。孱颜屹焉立，汹涌勃然起。百丈为前牵，万险即平砥。破之以筼筜，续之以麻枲。砺之坚以节，引之直如矢。杼轴连半空，长短随两涘。铁锁枉驰名，锦缆谩称美。长绳岂能系，朽索何足拟。苟非?之为，胡可力行此。"
