题目,朝代,作者,内容
杂诗二首 其一,宋末金初,王予可,白露沙滩浸绿湄，小舟舣岸尚依稀。山回屏曲江连树，春锁人家深处归。
驯鹤图,宋末金初,王予可,寝处妆铅未捲钗，孤云花带月边来。六宫帘幕金鸾冷，露湿晨烟啄翠苔。
南园湖石,宋末金初,王予可,翠雀衔云堕翠芜，砥峰倒影卧平湖。飞花不到穿帘月，高倚晴天一剑孤。
宫体 其二,宋末金初,王予可,骄马金笼藉草归，翠鸾屏曲染红霏。凭栏山色春风里，唤得莺儿燕子飞。
宫体 其一,宋末金初,王予可,红叶铺霜撼御阶，绣莲尘蹴衬罗鞋。袖沾莺翅调簧语，堕却衔翘入鬓钗。
宫词,宋末金初,王予可,水曲朱门漪漾漫，一帘花雨月波寒。金闺背衬鸳鸯冷，春困秋千立画干。
题灵隐寺,宋末金初,王予可,游山无处浣尘埃，出郭寻幽入翠苔。众水尽从双涧去，一峰元自五天来。行春人散题名在，坐夏僧閒听讲回。清磬一声猿鸟寂，石楠花落满经台。
句 其十二,宋末金初,王予可,凤环捧席带香屏，鲸杯倚伎和云捲。
句 其三,宋末金初,王予可,一壶天地醒眠小。
句 其六,宋末金初,王予可,唾尖绒舌淡红甜。
句 其十,宋末金初,王予可,帘捲绿阴花外月，玉山冰雪醉扶翁。
句 其二,宋末金初,王予可,壶树苔波月渍皴。
句 其一,宋末金初,王予可,石裂雯华渍月秋。
句 其五,宋末金初,王予可,风色偃貂裘。
句 其十一,宋末金初,王予可,啼鸟倒衔金羽舞，惊蛇斜傍玉帘飞。
句 其七,宋末金初,王予可,金盆水不暖，翠雀啄晴苔。
句 其八,宋末金初,王予可,凤蹴瑶华散，龙衔桂子香。
句 其九,宋末金初,王予可,一片冷截潭底月，六弯斜卷陇头云。
过白沟趁顺安,宋末金初,刘著,万折狂澜肯倒流，归心梦寐在东周。平生快意君知否，今日驱车过白沟。
伯坚惠新茶绿橘香味郁然便如一到江湖之上戏作小诗二首 其二,宋末金初,刘著,黄苞犹带洞庭霜，翠袖传看绿叶香。何待封题三百颗，只今诗思满江乡。
伯坚惠新茶绿橘香味郁然便如一到江湖之上戏作小诗二首 其一,宋末金初,刘著,建溪玉饼号无双，双井为奴日铸降。忽听松风翻蟹眼，却疑春雪落寒江。
送客亭,宋末金初,刘著,十年羁旅鬓成丝，千里淮山信息稀。送尽长亭短亭客，且看庄舄几时归。
闺情二绝 其二,宋末金初,刘著,蕙帐金炉冷篆烟，故山春草几芊芊。只今唯有潇湘月，万里相随照不眠。
闺情二绝 其一,宋末金初,刘著,天边北斗又回春，愁绝龙沙任酒醺。万里巫山归梦断，不知何处觅行云。
顺安辞呈赵使君二首 其二,宋末金初,刘著,六朝兴废渡河年，旧国归来更黯然。八月边城山未雪，芦花籍藉已漫天。
顺安辞呈赵使君二首 其一,宋末金初,刘著,太平时世屡丰年，胜事空闻父老传。郭外桑麻知几顷，船头鱼蟹不论钱。
病中寄楚卿,宋末金初,刘著,月满江楼午夜钟，多情多病一衰翁。行云不道无行雨，只恐相逢是梦中。
文季侍郎得绿萼香梅子文待制有诗辄亦同赋,宋末金初,刘著,一枝绿萼冠群芳，潇洒犹疑楚岸傍。香骨瘦来冰蕊细，梦魂清处月波凉。赓酬便合成千首，醒醉宁须计百觞。横玉叫云吹不尽，只教今古洗离肠。
出榆关,宋末金初,刘著,羽檄中原满，萍流四海间。少时过桂岭，壮岁出榆关。奇祸心如折，羁愁鬓已斑。楚累千万亿，知有几人还。
再和彦高,宋末金初,刘著,否泰由来在岁星，谁听叩角作商声。一朝汉魏成今古，百口燕秦隔死生。雉堞仅能逃病妇，雁书犹记作团兄。雪云埋尽辽西路，有酒如淮奈此情。
次韵王子慎玉田道中一首兼呈韩公美阁老,宋末金初,刘著,东晋风流属子猷，开元峭直让韩休。丝纶对掌惊三隽，尊酒更酬失四愁。古道阴阴槐树老，归鸿杳杳荻花秋。浩然诗思天涯远，月满江南小谢楼。
次韵彦高暮春书事,宋末金初,刘著,平生漫浪老清晖，却扫丘园属少微。世乱伤心青眼旧，天涯流泪白云飞。羁愁只忆中山酒，贫病长悬子夏衣。泽畔行吟谁念我，祗应形影自相依。
至日,宋末金初,刘著,乱离南国忽经年，一线愁添未死前。心折灵台候云物，眼看东海变桑田。燕巢幕上终非计，雉畜樊中政可怜。安得绝云行九万，却骑鲸背上青天。
枕上言怀,宋末金初,刘著,九土将分裂，中原政扰攘。孰为真汉相，却忆假齐王。晋室迁神鼎，梁园作战场。可怜羁客梦，夜夜在家乡。
病中言怀呈韩给事,宋末金初,刘著,潦倒淮山客，金台五见秋。退飞嗟宋鹢，畏暑甚吴牛。问疾怜摩诘，分曹类子猷。自惭无补报，只合隐林丘。
寄题张浩然松雪楼,宋末金初,刘著,入座山光秀玉柯，岸巾绝景意如何。瘦来岂为寒松句，和寡还惊白雪歌。地近云烟来鹤驾，檐高星斗泻银河。悬知老子登临处，渺渺沧波月色多。
渡辽,宋末金初,刘著,身隔辽东渡，心怀冀北群。会归苏属国，却忆范将军。风陈横秋雁，雷声吼夜蚊。方言莫相笑，唐梵本殊分。
次韵彦高即事,宋末金初,刘著,福威看九落，笔削在麟经。中道亡三鉴，危时忆九龄。网罗无处避，鼙鼓不堪听。身远辽阳渡，心怀岘首亭。脱巾头半白，倾盖眼谁青。断雁西风急，潸然涕泗零。
次韵彦高占雪,宋末金初,刘著,天秋鼓南风，云海飘暮雪。三春犹冱寒，九夏那苦热。土圭测中气，尝闻先儒说。穷发多异宜，泥古诚亦拙。吴侯擅六艺，名宦端不屑。晚岁登泰山，蚤已探禹穴。千岁可坐致，不待数旬月。重阴畏坎陷，五阳欣夬决。君子方履霜，渠肯蹈覆辙。鸡猪与鱼蒜，幸可充朝啜。
题御城寺壁,宋末金初,刘著,一径埋云草树荒，石麟苍藓卧田桑。汉家陵阙今何在，洛水嵩山满夕阳。
虏中作三首 其二,宋末金初,宇文虚中,遥夜沈沈满幕霜，有时归梦到家乡。传闻已筑西河馆，自许能肥北海羊。回首两朝俱草莽，驰心万里绝农桑。人生一死浑闲事，裂眦穿胸不汝忘。
中运使寄酒清明日到以诗谢之,宋末金初,张孝纯,芳樽到日恰清明，似与嘉辰默计程。拟助林园延胜赏，肯容桃李落繁英。老来官爵浑无味，闲里杯盘却有情。见说使车临岱麓，倘能相过共飞觥。
挽张叔夜二首 其二,宋末金初,张孝纯,季世遭奇祸，烦冤痛可论。交情伤死别，亲属恸遗言。空想还家梦，难招去国魂。一朝成万古，斜日下平原。
挽张叔夜二首 其一,宋末金初,张孝纯,畴昔中朝士，簪绅仰令名。恩威彰辅郡，忠孝卫都城。许国志何壮，为山功莫成。西风故林道，萧瑟感秋声。
卢台峭帆亭,宋末金初,张斛,高秋客未还，何处望乡关。乔木苍烟外，孤亭落照间。雨晴山觉近，潮满水如闲。目断峒阳路，归云不可攀。
无题,宋末金初,施宜生,唱得新翻稳贴腔，阿谁能得肯双双。天宁寺里尊前月，分擘清寒入小窗。
平阳书事,宋末金初,施宜生,春寒窣窣透春衣，沿路看花缓辔归。穿过水云深密处，马前蝴蝶作团飞。
柳,宋末金初,施宜生,魏王堤暗雨垂垂，还似春残欲别时。传语西风且停待，黛残黄浅不禁吹。
盆池,宋末金初,施宜生,盆池潋滟荫芭蕉，点水圆荷未出条。分得江湖好风景，断云飞去晚萧萧。
题将台,宋末金初,施宜生,梅花摘索未全开，老倦无心上将台。人在江南望江北，征鸿时送客愁来。
社日 其二,宋末金初,施宜生,割少诙谐语，分均宰制功。灵祇依古树，醉叟泥村童。万里开耕稼，三时顺雨风。行春从此乐，著意酒杯中。
诗一首,宋末金初,施宜生,久坐乡关梦已迷，归来投宿旧沙溪。一天风雨龙移穴，半夜林峦鸟择栖。卖菜无人求好语，种瓜何地不成畦。男儿未老中原在，寄语鹍鸡莫浪啼。
感春,宋末金初,施宜生,感事伤怀谁得知，故园閒日自晖晖。江南地暖先花发，塞北天寒迟雁归。梦里江河依旧是，眼前阡陌似疑非。无愁只有双蝴蝶，解趁残红作阵飞。
感钱王战台,宋末金初,施宜生,层层楼阁捧昭回，元是钱王旧战台。山色不随兴废去，水声长逐古今来。年光似月生还没，世事如花落又开。多少英雄无处问，夕阳行客自徘徊。
赠明道人,宋末金初,施宜生,休论道骨与仙风，自许平生义与忠。千古已尝窥治乱，一身何足计穷通。仰天但觉心如铁，览镜犹欣发未蓬。尘世纷纷千百辈，只君双眼识英雄。
题壁,宋末金初,施宜生,君子虽穷道不穷，人生自古有飘蓬。文章笔下千堆锦，志气胸中万丈虹。大抵养龙须是海，算来栖凤莫非桐。山东宰相关西将，俯仰怀贤倚暮风。
山谷草书,宋末金初,施宜生,行所当行止当止，错乱中间有条理。意溢毫摇手不知，心自书空不书纸。
严子陵钓台,宋末金初,施宜生,悬崖断壑少人踪，只合先生卧此中。汉业已无一抔土，钓台今是几秋风。同学刘郎已冕旒，未应换与此羊裘。子云到老不晓事，不信人间有许由。
含笑花,宋末金初,施宜生,百步清香透玉肌，满堂和气自心知。褰帷跛客相迎处，射雉春风得意时。
句 其一,宋末金初,施宜生,只因未有良媒在，直到如今万万秋。
句 其三,宋末金初,施宜生,临池翕忽云雾集，舞剑浩荡波涛翻。
句 其二,宋末金初,施宜生,朱门处处临官道，流水年年绕禁宫。
闻雁,宋末金初,刘著,千里寒云卷朔风，当轩月午雁书空。烦君为报江南客，憔悴辽东更向东。
月夜汎舟,宋末金初,刘著,浮世浑如出岫云，南朝词客北朝臣。传邮扰扰无虚日，吏俗区区老却人。入眼青山看不厌，傍船白鹭自相亲。举杯更欲邀明月，暂向尧封作逸民。
春日,宋末金初,宇文虚中,北洹春事休嗟晚，三月尚寒花信风。遥忆东吴此时节，满江鸭绿弄残红。
和高子文秋兴二首 其一,宋末金初,宇文虚中,沙碧平犹涨，霜红粉已多。驹年惊过隙，凫影倦随波。散步双扶老，栖身一养和。羞看使者节，甘荷牧人蓑。
和高子文秋兴二首 其二,宋末金初,宇文虚中,摇落山城莫，栖迟客馆幽。葵衰前日雨，菊老异乡秋。自信浮沈数，仍怀顾望愁。蜀江归棹在，浩荡逐春鸥。
迎春乐 立春,宋末金初,宇文虚中,宝幡彩胜堆金缕。双燕钗头舞。人间要识春来处。天际雁，江边树。故国莺花又谁主。念憔悴、几年羁旅。把酒祝东风，吹取人归去。
题宗之家初序潇湘图,宋末金初,吴激,江南春水碧于酒，客子往来船是家。忽见画图疑是梦，而今鞍马老风沙。
同儿曹赋芦花,宋末金初,吴激,天接苍苍渚，江涵袅袅花。秋声风似雨，夜色月如沙。泽国几千里，渔村三两家。翻思杏园路，鞭袅帽檐斜。
早春,宋末金初,吴激,寂寂重寂寂，出门春草齐。晚芳犹著树，江涨欲平溪。山暝有时雨，村深何处鸡。远山缘底恨，故作傍人低。
晚春言怀寄燕中知旧,宋末金初,吴激,闲云泄泄日晖晖，林斧溪舂响翠微。天气乍晴花满树，人家久住燕双飞。邻村社后容借酒，客舍新来未绽衣。遥忆东郊亭畔柳，归时相见亦依依。
人月圆 宴北人张侍御家有感,宋末金初,吴激,南朝千古伤心事，犹唱后庭花。旧时王谢，堂前燕子，飞向谁家。恍然一梦，仙肌胜雪，宫髻堆鸦。江州司马，青衫泪湿，同是天涯。
诉衷情,宋末金初,吴激,夜寒茅店不成眠。残月照吟鞭。黄花细雨时候，催上渡头船。鸥似雪，水如天。忆当年。到家应是，童稚牵衣，笑我华颠。
将渡江,宋末金初,张斛,无数飞花委路尘，不堪重醉楚城春。明朝回首江南岸，烟雨昏昏不见人。
南京遇马丈朝美,宋末金初,张斛,浮云久与故山违，茅栋如存尚可依。行路相逢初似梦，旧游重到复疑非。沧江万里悲南渡，白发几人能北归。二十年前河上月，尊前还共惜清辉。
海边亭为浩然赋,宋末金初,张斛,夙有沧洲趣，云扃梦几回。临深疑地尽，望远觉天开。月涌冰轮出，涛翻雪阵来。无机同海客，鸥鸟莫相猜。
社日 其一,宋末金初,施宜生,浊涧回湍激，青烟弄晚晖。缘随春酒熟，分与故山违。社鼓喧林莽，孤城隐翠微。山花羞未发，燕子喜先归。
题平沙落雁屏景,宋末金初,施宜生,江南江北八九月，葭芦伐尽洲渚阔。欲下未下风悠扬，影落寒潭三两行。天涯是处有菰米，如何偏爱来潇湘。
小重山 予可自解?霜脂粉也,宋末金初,王予可,宝榭帘钩捲月窗。缕衣金样褪、汎馀香。卿卿荣耀宠恩光。三竿日、颦翠楚山长。螺髻戛浮觞。凤奁尘瑩恨、浥?霜。卖珠楼外串离肠。春残梦、今夜拟高唐。
长相思,宋末金初,王予可,风暖时。雨晴时。熏褶罗衣人未归。螓蛾愁欲飞。枕琼霞。琐窗纱。帘月楼空燕子家。春风埽落花。
生查子,宋末金初,王予可,夜色明河静，好风来千里。水殿谪仙人，皓齿清歌起。前声金斝中，后声银河底。一夜岭头云，绕遍楼前水。
念奴娇,宋末金初,宇文虚中,疏眉秀目。看来依旧是，宣和妆束。飞步盈盈姿媚巧，举世知非凡俗。宋室宗姬，秦王幼女，曾嫁钦慈族。干戈浩荡，事随天地翻覆。一笑邂逅相逢，劝人满饮，旋旋吹横竹。流落天涯俱是客，何必平生相熟。旧日黄华，如今憔悴，付与杯中醁。兴亡休问，为伊且尽船玉。
木兰花慢 中秋,宋末金初,吴激,敞千门万户，瞰沧海、烂银盘。对沆瀣楼高，储胥雁过，坠露生寒。阑干。眺河汉外，送浮云、尽出众星乾。丹桂霓裳缥缈，似闻杂佩珊珊。长安底处高城，人不见，路漫漫。叹旧日心情，如今容鬓，瘦沈愁潘。幽欢。纵容易得，数佳期、动是隔年看。归去江湖一叶，浩然对影垂竿。
风流子,宋末金初,吴激,书剑忆游梁。当时事、底处不堪伤。兰楫嫩漪，向吴南浦，杏花微雨，窥宋东墙凤。城外燕随青步障，丝惹紫游缰。曲水古今，禁烟前后，莫云楼阁，春草池塘。回首断回肠，年芳但如雾，镜发成霜。独有蚁尊陶写，蝶梦悠飏。听出塞琵琶，风沙淅沥，寄书鸿雁，烟月微茫。不似海门潮信，能到浔阳。
春从天上来 会宁府遇老姬善鼓瑟自言梨园旧籍因感而赋此,宋末金初,吴激,海角飘零。叹汉苑秦宫，坠露飞萤。梦回天上，金屋银屏。歌吹竞举青冥。问当时遗谱，有绝艺、鼓瑟湘灵。促哀弹，似林莺呖呖，山溜泠泠。梨园太平乐府，醉几度春风，鬓变星星。舞破中原，尘飞沧海，风雪万里龙庭。写胡笳幽怨，人憔悴、不似丹青。酒微醒。对一窗凉月，灯火青荧。
满庭芳,宋末金初,吴激,千里伤春，江南三月，故人何处汀州。满簪华发，花鸟莫深愁。烽火年年未了，清宵梦，定绕林丘。君知否，人间得丧，一笑付文楸。幽州。山偃蹇，孤云何事，飞去还留。问来今往古，谁不悠悠。怪底眉间好色，灯花报、消息刀头。看看是，珠帘暮卷，天际识归舟。
满庭芳,宋末金初,吴激,谁挽银河，青冥都洗，故教独步苍蟾。露华仙掌，清泪向人沾。画栋秋风袅袅，飘桂子、时入疏帘。冰壶里，云衣雾鬓，掬水弄春纤。厌厌成胜赏，银槃拨汞，宝鉴披奁。待不放，楸梧影转西檐。坐上淋漓醉墨，人人看、老子掀髯。明年会，清光未减，白发也休添。
满庭芳,宋末金初,吴激,射虎将军，钓鳌公子，骑鲸天上仙人。少年豪气，买断杏园春。海内文章第一，属车从、九九清尘。相逢地，岁云暮矣，何事又参辰。沾巾。云雪暗，三韩底是，方丈之滨。要远人都识，物外精神。养就经纶器业，结来看、开阖平津。应怜我，家山万里，老作北朝臣。
满庭芳 寄友人,宋末金初,吴激,柳引青烟，花倾红雨，老来怕见清明。欲行还住，天气弄阴晴。是处吹箫巷陌，衫襟渍、春酒如饧。溪桥畔，涓涓流水，鸡犬静柴荆。高城。天共远，山遮望断，草唤愁生。等五湖烟景，今有谁争。凄断湘灵鼓瑟，写不尽、楚客多情。空惆怅，春闺梦短，斜月晓闻莺。
瑞鹤仙 寄友人,宋末金初,吴激,晓溪烟曳缕。乍润入芳草，东风吹雨。桃花破冰渚。看葡萄东涨，孤舟掀舞。沿吴溯楚。记孤烟、相对夜语。到而今醉里，听打小窗，梦随双橹。羁旅馀生飘荡，地角天涯，故人何许。离肠最苦。思君意，渺南浦。会收身却向，小山丛桂，重寻林下旧侣。把千岩万壑云霞，暮年占取。
无馀居士斋壁有沈传师游道山岳麓诗石刻穆仲等和之因亦次韵,宋末金初,司马朴,湘西胜景岂易论，群山腾闯万里奔。鹤泉一麓骞鹏噣，松风十里藏祇园。当时侍御偶题写，笔力孰敢争雄尊。东京少年妙词藻，南阳旧族齐阴樊。天心月胁出奇语，使我展读忘朝昏。差差戈剑隐一敌，落落旗鼓严千屯。无馀居士厉幽志，细研六艺方专门。冻骭娇儿惯肠苋，啼饥瘦妇馀泪痕。惟君德义允相惬，每穷道妙角与根。他人劝酒惊逐魂，二子频酌勤空樽。醉中诗成渺江海，风外幡影徒飞翻。卷藏箧笥已戢戢，风生襟袖何轩轩。嗟乎我亦有馀腐，陋哉羊政囚华元。
句,宋末金初,司马朴,积雪日出杲，雪飞梅已残。朋游要及时，阁邻有遐观。乘此芜秽平，快览天宇宽。霁色混银界，旷望连江干。山如白毫相，滉溢清扬端。一气转浩渺，万里皆瀰漫。优哉赋梁苑，想像排广寒。
杂诗六首 其一,宋末金初,刘豫,竹坞人家濒小溪，数枝红杏出疏篱。门前山色带烟重，幽鸟一声春日迟。
杂诗六首 其二,宋末金初,刘豫,风荷柄柄弄清香，轻薄沙禽落又翔。红日转西渔艇散，一川山影暮天凉。
杂诗六首 其三,宋末金初,刘豫,古渡停骖日向沈，凄凉归思梗清吟。碧山几点塞天阔，红叶一林秋意深。
杂诗六首 其四,宋末金初,刘豫,倚岩萧寺据危崖，丈室轩窗面水开。雪霁暮寒山月上，数竿修竹一枝梅。
杂诗六首 其五,宋末金初,刘豫,昼色晴明著色图，山光凝翠接平湖。烟岚自古人难画，远即深深近却无。
杂诗六首 其六,宋末金初,刘豫,寒林烟重暝栖鸦，远寺疏钟送落霞。无限岭云遮不断，数声和月到山家。
客馆,宋末金初,刘豫,雪消北岭安排暖，寒入东风阻节春。绝塞乱山围古驿，他时说著也愁人。
登苏门山百泉,宋末金初,刘豫,太行雄伟赤霄逼，枝分苏门为肘腋。孕奇产秀气蟠郁，涌作琉璃千顷碧。初疑骊龙蛰山趾，仰喷明珠飞的皪。忽如湘灵理新妆，大鉴开匣乍磨拭。峰峦倒影浸云烟，蘋藻照沙改颜色。相辉一段佳风月，馀泽几州及动植。昔闻隐沦有仙人，高标清与溪山敌。悠悠往事散浮云，啸有遗屋行有迹。我居东秦济水南，无限泉池日亲炙。一行作吏别经年，情思尘埃何处涤。云祠因祷来凭栏，顿爽骨毛快胸臆。飘飘兰舟七八客，尊俎笙箫随分入。胜概纷并接不暇，恨乏鲁戈延晷刻。归来簿领厌沉迷，春睡每着蝶梦适。心约他时杖履游，醉漱溪流枕溪石。
虏中作三首 其一,宋末金初,宇文虚中,满腹诗书漫古今，频年流落易伤心。南冠终日囚车府，北雁何时到上林。开口摧颓空抱璞，胁肩奔走尚腰金。莫邪利剑今安在，不斩奸邪恨最深。
虏中作三首 其三,宋末金初,宇文虚中,不堪垂老尚蹉跎，有口无辞可奈何。强食小儿犹解事，学妆娇女最怜他。故衾愧见沾秋雨，短褐宁忘拆海波。倚仗循环如可待，未愁来日苦无多。
郑下赵光道与余有十五年家世之旧守官代郡之崞县闻余以使事羁留平城与诸公相从皆一时英彦遂以应举自免去驾短辕下泽车驱一僮二驴扶病以来相聚凡旬日而归昔白乐天与元微之偶相遇于夷陵峡口既而作诗叙别虽憔悴哀伤感念存没至叹泣不能自已而终篇之意盖亦自开慰况吾辈今日可无片言以识一时之事邪因各题数句而余为之叙夜将半各有酒所语不复锻鍊要之皆肺腑中流出也,宋末金初,宇文虚中,穷愁诗满箧，孤愤气填胸。脱身枳棘下，顾我雪窖中。竟日朋盍簪，论文一樽同。翻然南飞燕，却背北归鸿。人生悲与乐，倚伏如张弓。莫言竟愦愦，作书怨天公。
古剑行,宋末金初,宇文虚中,公家祖皇提三尺，素灵中断开王迹。自从武库冲屋飞，化作文星照东壁。夫君安得此龙泉，秋水湛湛浮青天。夔魖奔喘禺强护，中夜跃出光蜿蜒。拄颐櫑具男儿饰，弹铗长歌气填臆。嶙峋折槛霁天威，将军拜伏奸臣泣。龙泉尔莫矜雄铓，不见鸟尽良弓藏。会当铸汝为农器，一剑不如书数行。
白菊,宋末金初,宇文虚中,西风萧飒百草黄，南斋白菊占秋芳。主人好事不专飨，撷送客馆分幽香。幽香清艳两难得，冰雪肌肤龙麝裛。悄然坐我蕊珠宫，玉斧瑶姬皆旧识。仙家蓻菊名日精，我今号尔为月英。月中风露秋夕好，感此仙种来曾城。凭君传与金天令，月与霜姿驻清景。重阳好伴白衣来，五柳先生忆三径。
还舍作,宋末金初,宇文虚中,燕山归来头已白，自笑客中仍作客。此生悲欢不可料，况复吾年过半百。故人惊我酒尚狂，为洗瓶罍贮春色。酒阑人散月盈庭，静听清渠流㶁㶁。
庭下养三鸳鸯忽去不反戏为作诗,宋末金初,宇文虚中,先生久忘机，为尔虞矰缴。一朝长羽翮，万里翔寥廓。谁信恶沟鸱，忽作华表鹤。岂无三玉环，遗音嗣黄雀。
予写金刚经与王正道正道与朱少章复以诗来辄次二公韵 其一 次正道韵,宋末金初,宇文虚中,平生幸识系珠衣，穷走他乡未得归。有客为传祗树法，此心便息汉阴机。百千三昩一门入，四十九年诸事非。寄与香山老居士，要凭二义发馀辉。
予写金刚经与王正道正道与朱少章复以诗来辄次二公韵 其二 次少章韵,宋末金初,宇文虚中,前世曾为粥饭僧，此生随处且腾腾。经中因认人我相，教外都忘大小乘。写去欲云居士颂，信来如续祖师灯。他年辱赠茅庵句，谁谓因缘昔未曾。
郊居,宋末金初,宇文虚中,芒屦松冠野外装，茶铛药灶静中忙。含风荇逐波纹展，著雨花连土气香。停策仰檐朝觅句，披襟穿树晚追凉。蓬蒿似欲荒三径，疏懒谁知意更长。
岁寒堂,宋末金初,宇文虚中,洞户延清吹，庭除贮绿阴。不随风月媚，肯受雪霜侵。润入珠泉爽，声传玉帐深。主人留胜赏，同此岁寒心。
重阳旅中偶记二十年前二诗因而有作,宋末金初,宇文虚中,旧日重阳厌旅装，而今身世更悲凉。愁添白发先春雪，泪著黄花助晚霜。客馆病馀红日短，家山信断碧云长。故人不恨村醪薄，乘兴能来共一觞。
己丑重阳在剑门梁山铺,宋末金初,宇文虚中,两年重九皆羁旅，万水千山厌远游。白酒黄花聊度日，青萍绿绮共忘忧。却怜风雨梁山路，不似莼鲈楚泽秋。何必东皋是三径，此身天地一虚舟。
生日和甫同诸公载酒袖诗为礼感佩之馀以诗为谢,宋末金初,宇文虚中,词人诗句压离骚，按膝长吟意自豪。袖里虹蜺冲霁色，笔端风雨驾云涛。将衰难称千年祝，增重虚蒙只字褒。太史已应飞急奏，文星偏傍使星高。
