"题目"，"朝代"，"作者"，"内容"
"落花 壬午","民国末当代初","朱庸斋","晓日千红下玉台，半随流水半尘埃。消沈六代江山梦，寂寞三春锦绣堆。香国光阴曾一瞬，情天空色悟将来。杜郎未老才华尽，总为芳时带恨回。"
"杂诗七首 其一","民国末当代初","朱庸斋","钿车何日出东门，停伫阴晴总断魂。坠絮飘花春渐老，闻声对影梦难温。"
"杂诗七首 其二","民国末当代初","朱庸斋","加餐小语徒相忆，遂愿他生且莫论。除却茶烟灯灺外，更无一计遣朝曛。"
"杂诗七首 其三","民国末当代初","朱庸斋","待人曾惯耐春寒，来日相逢各自难。悽绝落花微雨外，与谁私凭玉阑干。"
"杂诗七首 其四","民国末当代初","朱庸斋","长街躞蹀雨纵横，心力空抛约未成。输与定庵先会领，非将此骨媚公卿。"
"杂诗七首 其五","民国末当代初","朱庸斋","横塘深浅未关怀，亲采芙蓉愿尚乖。生恐入秋风物改，相逢犹隔水西涯。"
"杂诗七首 其六","民国末当代初","朱庸斋","虚杯相待酒仍斟，雨送新凉直到心。猛忆昨朝相见后，衣香云鬓几低吟。"
"杂诗七首 其七","民国末当代初","朱庸斋","白日经行卅六回，飞蓬两鬓复连腮。倘教误入南塘道，当负黄金走马才。"
"有怀","民国末当代初","朱庸斋","酒馀心事万千缕，日午匆匆送别时。并立葵阴人不觉，此情唯有两家知。"
"病卧经年管毫尽败乞于曲斋 二首 其一 癸丑","民国末当代初","朱庸斋","闻道星期六，门多问字车。宁非书有价，不复食无鱼。碍梦床虚设，充棚楮尚馀。齐名愧夙昔，病困合穷居。"
"病卧经年管毫尽败乞于曲斋 二首 其二 癸丑","民国末当代初","朱庸斋","秃管书难就，成蝇误每多。病羸疏过肆，门静足张罗。姓字今谁识，文章只自阿。老来规矩厌，丛帖任生蛾。"
"题百合花画","民国末当代初","朱庸斋","百合入夜开，人花两相俏。月色入帘时，清辉为人照。"
"自题七星碞图 己未","民国末当代初","朱庸斋","截取苍碞半段阴，竹光松影冷愔愔。孤篷染尽星湖水，世外仙源讵可寻。"
"采桑子","民国末当代初","吴则虞","一程芳草清明近，吩咐莺鹂。休凭悲啼。留得春魂稳处栖。绮罗未必真成障，诗到无题。人到无依。故国东来雁北飞。"
"自题浅绛山水","民国末当代初","朱庸斋","尺幅丹青一抹秋，山容清瘦似工愁。何时盖顶苍崖下，收拾云烟作卧游。"
