"题目","朝代","作者","内容"
"村居五首 其一","金","马定国","溪头梅是去年花，閒日初长径竹斜。向晚孤烟三十里，不知樵唱落谁家。"
"杨休烈村居","金","马定国","篱落牵牛放晚花，西风吹叶满人家。闭门久雨青苔滑，时见鸳鸯下白沙。"
"秋日书事","金","马定国","井边薏苡吐秋珠，舍下瓜区杂芋区。世道未夷聊小隐，不须辛苦著潜夫。"
"郢州城西","金","马定国","秋江白水浪花粗，墟落人归鸟自呼。新月高城三百雉，角声吹彻小单于。"
"中秋","金","王中立","素丸东溟来，飞上玻璃盆。聊挥五轮手，拨去万里阴。印透山河影，照开天地心。人世有昏晓，我未尝古今。"
"杂诗四首 其四","金","王中立","此生休更问浮名，名利区区不暂停。我有一丸天上药，用时还解济苍生。"
"杂诗四首 其三","金","王中立","云叶邻邻皱碧空，笙箫递响入天风。忽惊风浪耳边急，不觉形神来世中。"
"杂诗四首 其二","金","王中立","独跨苍虬下太清，春风万里月华明。因君感激为君说，凿破天机我也惊。"
"杂诗四首 其一","金","王中立","华山宫殿白云封，不见当年打睡翁。贪看终南山色好，不知红日下前峰。"
"忆之纯 其三","金","王若虚","俊气轻天下，高情到古人。衔杯曼卿放，下笔老坡神。时论谁优劣，人材自屈伸。穷愁须理遣，不必泪沾巾。"
"忆之纯 其二","金","王若虚","面目三年隔，音书万里遥。宦途俱蹭蹬，日事各萧条。志大谋常拙，身孤道易消。本无当世用，隐处会相招。"
"忆之纯 其一","金","王若虚","幼岁无真契，中年得伟人。倾怀当一面，投分许终身。灯火谈玄夜，莺花逐胜春。何时重一笑，胸次欲生尘。"
"閒閒公为上清宫道士写经并以所养鹅群付之诸公有诗某亦同作","金","杨云翼","会稽笔法老无尘，今代閒閒是后身。只有爱鹅缘已尽，举群还付向来人。"
"杨花","金","高士谈","来时官柳万丝黄，去日飞毬满路傍。我比杨花更飘荡，杨花只是一春忙。"
"写怀","金","吕中孚","秦川西去远，不意过漳川。归梦三千里，羁愁二十年。谋生空白发，行路若青天。馀事休相问，相留只醉眠。"
"九日月中对菊同禧伯郎中赋六首 其六","金","张本","龙山戏马赏秋光，多少新诗入锦囊。磨灭英雄岂胜数，千年依旧一花香。"
"九日月中对菊同禧伯郎中赋六首 其五","金","张本","鬼化斯文念贾生，精神雕琢坐寒更。一书草就浑衣卧，恨杀东方不肯明。"
"九日月中对菊同禧伯郎中赋六首 其四","金","张本","病䰟招得未浑全，瞑倚秋屏岂是禅。一梦忽成霜蝶去，草深三径若为眠。"
"客有求观予孝经传者感而赋诗","金","白贲","古人文瑩理，后人但工文。文工理愈暗，纸札何纷纷。君看六艺学，天葩吐奇芬。诗书分体制，礼乐造乾坤。千岐更万辙，要以一理存。如何臻至理，当从践履论。跋涉经险阻，钻研阅寒温。孝弟作选锋，道德严中军。仰观及俯察，万象入见闻。不劳施斧凿，笔下生烟云。高以君唐虞，下以觉斯民。君如不我鄙，时来对炉薰。"
"真味堂","金","李纯甫","问渠真味若为言，不著盐梅也自全。鼋鼎大夫徒染指，曲车公子漫流涎。胸中已有五千卷，徽外更听三两弦。此老清馋何所嗜，宦名嚼蜡已多年。"
"雪后","金","李纯甫","玉环晕月蟠长虹，飞沙卷土号阴风。黄云羃羃翳晴空，屋头唧唧鸣寒虫。天符夜下扶桑宫，玄冥震怒鞭鱼龙。鱼龙飞出沧海底，咄嗟如律愁神工。急?北斗捲云汉，凌澌捲入天瓢中。椎璋碎璧纷破碎，六花剪出寒珑璁。翩翾作穗大如手，千奇万巧难形容。恍如堕我银沙界，清光缟夜寒朣胧。肝肠作祟耿无寐，试把往事间追穷。男儿生须衔枚卷甲臂雕弓，径投虎穴策奇功。不然羊羔酒涨玻璃钟，侍儿醉脸潮春红。谁能蹇驴驼著灞陵东，骨相酸寒愁煞侬。屏山正吐黄齑气，笑倒坐间亡是公。"
"天游斋","金","李纯甫","丈人未始出吾宗，草靡波流尽太冲。七窍凿开无混沌，六根消落尽圆通。法身兔角声闻外，尘事牛毛梦幻中。谁会天游更端的，瘦梅疏竹一窗风。"
"送裴子法北行","金","李庭","疋马区区万里行，知君雅志为苍生。圣朝若问经邦策，好草囊封劝罢兵。"
"溪行","金","李庭","枯木扶疏夹道傍，野梅倒影浸寒塘。朝阳不到溪湾处，留得横桥一板霜。"
"贺罗将仕拜命","金","李庭","问君为况近如何，若了青衫好事多。待献嘉谋裨北阙，未容高卧向南坡。竞辰事业常无倦，垂世功名要不磨。应笑柏山疏懒客，羊裘鹤发钓烟波。"
"贺萧致政庆恩拜命","金","李庭","玉立诸郎总席珍，名登天府早荣亲。读书闻道超千古，教子如君有几人。行际风云攀郤桂，先沾雨露及庄椿。浮山名寿参天翠，长与蓝袍色斗新。"
"游广胜寺东岩","金","李庭","年来百念如寒灰，老眼慵向时人开。犹有爱山缘未断，芒鞋信步东岩隈。东岩幽胜甲晋境，寒藤古木生苍苔。谁凿云根泄海眼，惊波深泻如奔雷。衲僧具眼觑天奥，作亭闯尔临渊洄。亭中空洞纳万象，收奇揽秀无遗材。倚阑清坐洗尘念，洒然冰雪涵灵台。上方一目尽千里，劳筋未暇穷崔嵬。百年名刹烬一炬，可怜金碧成蒿莱。世间兴废岂足道，会看穹壤论三灾。短生乘化不暂驻，须臾变化随风埃。心知所历皆梦境，题诗漫识吾曾来。下山一笑便陈迹，但见白塔苍烟堆。"
"济源庙海子内有二鼋人以将军目之投饼饵则至","金","郦权","我欲燃犀起蛰雷，漫誇海蘸纸钱灰。将军不是池中物，也为区区饼饵来。"
"岁除夕次东坡守岁韵","金","刘从益","人生都百年，谁问斗龟蛇。容颜镜中换，老丑不可遮。殷勤守此岁，来岁复如何。南邻祭灶喧，北里驱傩哗。须臾罢无为，但听楼鼓挝。明朝四十过，莫景真易斜。初心自慷慨，白首还蹉跎。寄语少年子，虽健不足誇。"
"野菊，座主閒閒公命作 其二","金","元好问","晚景萧疏画不成，晚花作意出繁英。鲜明独向霜露见，烂熳?随蒿艾生。南国骚人知有待，西风蝴蝶更多情。南山正在悠然处，安得芳樽与细倾。"
"学古体","金","侯册","桐风吹月乌啼井，蟾波湿露沉云影。素丝牵玉转泉华，美人睡觉燕支冷。银钩挂帘北窗晓，翠鬟临镜双鸾小。黄衫少年望不来，寂寂庭阶满春草。"
"江路闻松风","金","赵可","雪里云山玉作屏，松风入耳细泠泠。朝来醉著江亭酒，却被髯龙唤得醒。"
"郭熙秋山平远用东坡韵","金","刘迎","槐花忙过举子閒，旧游忆在夷门山。玉堂会见郭熙画，拂拭缣素尘埃间。楚天极目江天远，枫林渡头秋思晚。烟中一叶认扁舟，雨外数峰横翠巘。淮安客宦踰三霜，云梦泽连襄汉阳。平生独不见写本，惯饮山绿餐湖光。老来思归真日日，梦想林泉对华发。丹青安得此一流，画我横筇水中石。"
"秋怀","金","路忱","落日留虚壁，秋风急戍楼。高歌鬼神夜，挥涕虎狼秋。豪贵少青眼，文章多白头。何时挂长剑，天地一扁舟。"
"客怀","金","马定国","结发游荆楚，劳心惜寸阴。草长春径窄，花落晓烟深。谷旱惟祈雨，年饥不问金。三齐虽淡薄，留此亦何心。"
"送图南","金","马定国","壶觞送客柳亭东，回首三齐落照中。老去厌陪新客醉，兴来多与古人同。戍楼藤角垂新绿，山店柽花落细红。他日诗名满江海，荠堂相见两衰翁。"
"登历下亭有感","金","马定国","男子当为四海游，又携书剑客东州。烟横北渚芰荷晚，木落南山鸿雁秋。富国桑麻连鲁甸，用兵形势接营丘。伤哉不见桓公业，千古绕城空水流。"
"水龙吟 从商帅国器猎同裕之赋","金","王渥","短衣匹马清秋，惯曾射虎南山下。西风白水，石鲸鳞甲，山川图画。千古神州，一时胜事，宾僚儒雅。快长堤万弩，平冈千骑，波涛卷、鱼龙夜。落日孤城鼓角，笑归来、长围初罢。风云惨澹，貔貅得意，旌旗閒暇。万里天河，更须一洗，中原兵马。看鞬櫜呜咽，咸阳道左，拜西还驾。"
"到家","金","刘汲","三载尘劳虑，翻然尽一除。园林未摇落，庭菊正扶疏。绕屋看新树，开箱检旧书。依然故山色，潇洒入吾庐。"
"题西嵓 其二","金","刘汲","卜筑西嵓最可人，青山为屋水为邻。身将隐矣文何用，人不知之味更真。自古交游少同志，到头声利不关身。清泉便当如渑酒，浇尽胸中累劫尘。"
"平凉道中","金","刘汲","青山炯无尘，尘满行人衣。行人望青山，咫尺不得归。吾归不作难，世故苦相违。何当临溪水，一洗从前非。"
"题西嵓 其一","金","刘汲","人爱名与利，我爱水与山。人乐纷而竞，我乐静而閒。所以西嵓地，千古无人看。虽看亦不爱，虽赏亦不欢。欣然会予心，卜筑于其间。有石极峭屼，有泉极清寒。流觞与韨褉，终日堪盘桓。此乐为我设，信哉居之安。"
"鹧鸪天","金","刘著","雪照山城玉指寒。一声羌管怨楼间。江南几度梅花发，人在天涯鬓已斑。星点点，月团团。倒流河汉入杯盘。翰林风月三千首，寄与吴姬忍泪看。"
"过浑源留别田仲祥同知节使","金","朱自牧","金台前梦杳无踪，一阻云山莫计重。双鲤附书常不达，两萍浮海偶相逢。燕南落日车分辙，代北春风酒满钟。明日去留牵世务，灯前谈笑且从容。"
"晋宁感兴","金","朱自牧","莫将官况说葭芦，一味萧条称鄙夫。老圃不禁蔬代肉，樵丁还喜炕连厨。儿音半已渐秦晋，乡信无因接鲁洙。三见秋风落庭树，年年归意负莼鲈。"
"晚泊济阳","金","朱自牧","江北秋阴一半晴，晚凉留与客襟清。水边画角孤城莫，云底残阳远树明。旅雁为谁来有信，断蓬如我去无程。寥寥天地谁知已，村酒悠然只独倾。"
"朝中措","金","密璹","襄阳古道灞陵桥。诗兴与秋高。千古风流人物，一时多少雄豪。霜清玉塞，云飞陇首，风落江皋。梦到凤凰台上，山围故国周遭。"
"望海潮 从军舟中作","金","折元礼","地雄河岳，疆分韩晋，潼关高压秦头。山倚断霞，江吞绝壁，野烟萦带沧洲。虎旆拥貔貅。看阵云截岸，霜气横秋。千雉严城，五更残角月如钩。西风晓入貂裘。恨儒冠误我，却羡兜鍪。六郡少年，三关老将，贺兰烽火新收。天外岳连楼。想断云横晓，谁识归舟。剩着黄金换酒，羯鼓醉凉州。"
