"题目","朝代","作者","内容"
"紫骝马歌辞 其三","隋","无名氏","十五从军征，八十始得归。道逢乡里人，家中有阿谁。"
"碧玉歌 其二","隋","无名氏","碧玉小家女，不敢攀贵德。感郎千金意，惭无倾城色。"
"企喻歌 其一","隋","无名氏","男儿欲作健，结伴不须多。鹞子经天飞，群雀两向波。"
"企喻歌 其四","隋","无名氏","男儿可怜虫，出门怀死忧。尸丧狭谷中，白骨无人收。"
"西乌夜飞 其一","隋","无名氏","日从东方出，团团鸡子黄。夫妇恩情重，怜欢故在傍。"
"西乌夜飞 其四","隋","无名氏","阳春二三月，诸花尽芳盛。持底唤欢来，花笑莺歌咏。"
"折杨柳歌辞 其五","隋","无名氏","健儿须快马，快马须健儿。䟤跋黄尘下，然后别雄雌。"
"幽州马客吟歌辞 其一","隋","无名氏","快马常苦瘦，剿儿常苦贫。黄禾起羸马，有钱始作人。"
"读曲歌八十九首 其八十一","隋","无名氏","一夕就郎宿，通夜语不息。黄蘖万里路，道苦真无极。"
"读曲歌八十九首 其二十九","隋","无名氏","奈何许。石阙生口中。衔碑不得语。"
"读曲歌八十九首 其四十七","隋","无名氏","思欢不得来，抱被空中语。月没星不亮，持底明侬绪。"
"读曲歌八十九首 其十五","隋","无名氏","柳树得春风，一低复一昂。谁能空相忆，独眠度三阳。"
"读曲歌八十九首 其八十二","隋","无名氏","登店卖三葛，郎来买丈馀。合匹与郎去，谁解断粗疏。"
"读曲歌八十九首 其十六","隋","无名氏","折杨柳。百鸟园林啼。道欢不离口。"
"敕勒歌","隋","无名氏","敕勒川。阴山下。天似穹庐。笼盖四野。天苍苍。野茫茫。风吹草低见牛羊。"
"琅琊王歌辞 其一","隋","无名氏","新买五尺刀，悬著中梁柱。一日三摩娑，剧于十五女。"
"白马篇","隋","杨广","白马金贝装，横行辽水傍。问是谁家子，宿卫羽林郎。文犀六属铠，宝剑七星光。山虚弓响彻，地迥角声长。宛河推勇气，陇蜀擅威强。轮台受降虏，高阙剪名王。射熊入飞观，校猎下长杨。英名欺卫霍，智策蔑平良。岛夷时失礼，卉服犯边疆。徵兵集蓟北，轻骑出渔阳。进军随日晕，挑战逐星芒。阵移龙势动，营开虎翼张。冲冠入死地，攘臂越金汤。尘飞战鼓急，风交征旆扬。转斗平华地，追奔扫大方。本持身许国，况复武功彰。会令千载后，流誉满旗常。"
"陇头流水歌 其一","隋","无名氏","陇头流水，流离西下。念吾一身，飘然旷野。"
"五音曲 其五 羽引","隋","无名氏","玄英纪运。冬冰折。物为音本。和且悦。穷高测深。长无绝。"
"五音曲 其一 角引","隋","无名氏","萌生触发。岁在春。咸池始奏。德尚仁。惉懘以息。和且均。"
"五音曲 其三 宫引","隋","无名氏","八音资始。君五声。兴此和乐。感百精。优游律吕。被咸英。"
"五音曲 其四 商引","隋","无名氏","司秋纪兑。奏西音。激扬钟石。和瑟琴。风流福被。乐愔愔。"
"五音曲 其二 徵引","隋","无名氏","执衡司事。宅离方。滔滔夏日。火德昌。八音备举。乐无疆。"
"折杨柳歌辞 其四","隋","无名氏","遥看孟津河，杨柳郁婆娑。我是虏家儿，不解汉儿歌。"
"石城乐 其五","隋","无名氏","闻欢远行去，相送方山亭。风吹黄蘖藩，恶闻苦篱声。"
"华山畿二十五首 其七","隋","无名氏","啼著曙。泪落枕将浮。身沉被流去。"
"华山畿二十五首 其一","隋","无名氏","华山畿。君既为侬死。独活为谁施。欢若见怜时。棺木为侬开。"
"华山畿二十五首 其二十","隋","无名氏","奈何许。天下人何限。慊慊只为汝。"
"读曲歌八十九首 其二十一","隋","无名氏","逋发不可料。憔悴为谁睹。欲知相忆时。但看裙带缓几许。"
"读曲歌八十九首 其五十五","隋","无名氏","打杀长鸣鸡。弹去乌臼鸟。愿得连冥不复曙。一年都一晓。"
"襄阳乐 其七","隋","无名氏","女萝自微薄，寄托长松表。何惜负霜死，贵得相缠绕。"
"作蚕丝 其二","隋","无名氏","春蚕不应老，昼夜常怀丝。何惜微躯尽，缠绵自有时。"
"乌夜啼 其一","隋","无名氏","歌舞诸少年，娉婷无穜迹。菖蒲花可怜，闻名不曾识。"
"石城乐 其一","隋","无名氏","生长石城下，开窗对城楼。城中诸少年，出入见依投。"
"杨叛儿 其二","隋","无名氏","暂出白门前，杨柳可藏乌。郎作沈水香，侬作博山炉。"
"襄阳乐 其一","隋","无名氏","朝发襄阳城，暮至大堤宿。大堤诸女儿，花艳惊郎目。"
"苏小小歌","隋","无名氏","妾乘油壁车，郎骑青骢马。何处结同心，西陵松柏下。"
"人日思归诗","隋","薛道衡","入春才七日，离家已二年。人归落雁后，思发在花前。"
"广平百姓为李波小妹语","隋","无名氏","李波小妹字雍容。褰裙逐马如卷蓬。左射右射必叠双。妇女尚如此。男子那可逢。"
"送别诗","隋","无名氏","杨柳青青著地垂，杨花漫漫搅天飞。柳条折尽花飞尽，借问行人归不归。"
"炀帝幸江南时闻民歌","隋","无名氏","我儿征辽东，饿死青山下。今我挽龙舟，又困随堤道。方今天下饥，路粮无些小。前去三千程，此身安可保。寒骨枕荒沙，幽魂泣烟草。悲损门内妻，望断吾家老。安得义男儿，焚此无主尸。引其孤魂回，负其白骨归。"
"别宋常侍诗","隋","尹式","游人杜陵北，送客汉川东。无论去与住，俱是一飘蓬。秋鬓含霜白，衰颜倚酒红。别有相思处，啼乌杂夜风。"
"赋得岩穴无结构诗","隋","王申礼","岩间无结构，谷处极幽寻。叶落秋巢迥，云生石路深。早梅香野径，清涧响丘琴。独有栖迟客，留连芳杜心。"
"别周记室诗","隋","王胄","五里徘徊鹤，三声断绝猿。何言俱失路，相对泣离樽。别意凄无已，当歌寂不喧。贫交欲有赠，掩涕竟无言。"
