"题目","朝代","作者","内容"
"于太原召侍臣赐宴守岁","隋末唐初","李世民","四时运灰琯，一夕变冬春。送寒馀雪尽，迎岁早梅新。"
"辽东山夜临秋","隋末唐初","李世民","烟生遥岸隐，月落半崖阴。连山惊鸟乱，隔岫断猿吟。"
"咏小山","隋末唐初","李世民","近谷交萦橤，遥峰对出莲。径细无全磴，松小未含烟。"
"咏烛二首 其一","隋末唐初","李世民","燄听风来动，花开不待春。镇下千行泪，非是为思人。"
"咏烛二首 其二","隋末唐初","李世民","九龙蟠燄动，四照逐花生。即此流高殿，堪持待月明。"
"探得李","隋末唐初","李世民","盘根直盈渚，交干横倚天。舒华光四海，卷叶荫三川。"
"赋得临池竹","隋末唐初","李世民","贞条障曲砌，翠叶贯寒霜。拂牖分龙影，临池待凤翔。"
"赋得临池柳","隋末唐初","李世民","岸曲丝阴聚，波移带影疏。还将眉里翠，来就镜中舒。"
"赋得弱柳鸣秋蝉","隋末唐初","李世民","散影玉阶柳，含翠隐鸣蝉。微形藏叶里，乱响出风前。"
"赐房玄龄","隋末唐初","李世民","太液仙舟迥，西园隐上才。未晓征车度，鸡鸣关早开。"
"赐萧瑀","隋末唐初","李世民","疾风知劲草，板荡识诚臣。勇夫安识义，智者必怀仁。"
"三层阁上置音声","隋末唐初","李世民","绮筵移暮景，紫阁引宵烟。隔栋歌尘合，分阶舞影连。声流三处管，响乱一重弦。不似秦楼上，吹箫空学仙。"
"月晦","隋末唐初","李世民","晦魄移中律，凝暄起丽城。罩云朝盖上，穿露晓珠呈。笑树花分色，啼枝鸟合声。披襟欢眺望，极目畅春情。"
"仪鸾殿早秋","隋末唐初","李世民","寒惊蓟门叶，秋发小山枝。松阴背日转，竹影避风移。提壶菊花岸，高兴芙蓉池。欲知凉气早，巢空燕不窥。"
"冬日临昆明池","隋末唐初","李世民","石鲸分玉溜，劫烬隐平沙。柳影冰无叶，梅心冻有花。寒野凝朝雾，霜天散夕霞。欢情犹未极，落景遽西斜。"
"伤辽东战亡","隋末唐初","李世民","凿门初奉律，仗战始临戎。振鳞方跃浪，骋翼正凌风。未展六奇术，先亏一篑功。防身岂乏智，殉命有馀忠。"
"过旧宅二首 其一","隋末唐初","李世民","新丰停翠辇，谯邑驻鸣笳。园荒一径断，苔古半阶斜。前池消旧水，昔树发今花。一朝辞此地，四海遂为家。"
"过旧宅二首 其二","隋末唐初","李世民","金舆巡白水，玉辇驻新丰。纽落藤披架，花残菊破丛。叶铺荒草蔓，流竭半池空。纫佩兰凋径，舒圭叶剪桐。昔地一蕃内，今宅九围中。架海波澄镜，韬戈器反农。八表文同轨，无劳歌大风。"
"芳兰","隋末唐初","李世民","春晖开紫苑，淑景媚兰场。映庭含浅色，凝露泫浮光。日丽参差影，风传轻重香。会须君子折，佩里作芬芳。"
"远山澄碧雾","隋末唐初","李世民","残云收翠岭，夕雾结长空。带岫凝全碧，障霞隐半红。髣髴分初月，飘飖度晓风。还因三里处，冠盖远相通。"
"咏乌代陈师道","隋末唐初","李世民","凌晨丽城去，薄暮上林栖。辞枝枝暂起，停树树还低。向日终难托，迎风讵肯迷。只待纤纤手，曲里作宵啼。"
"咏风","隋末唐初","李世民","萧条起关塞，摇飏下蓬瀛。拂林花乱彩，响谷鸟分声。披云罗影散，泛水织文生。劳歌大风曲，威加四海清。"
"咏兴国寺佛殿前幡","隋末唐初","李世民","拂霞疑电落，腾虚状写虹。屈伸烟雾里，低举白云中。纷披乍依迥，掣曳或随风。念兹轻薄质，无翅强摇空。"
