"题目"，"朝代"，"作者"，"内容"
"无题","魏晋","无名氏","吴王好剑客，百姓多疮瘢。楚王好细腰，宫中多饿死。"
"古诗五首 其五","魏晋","无名氏","兰若生春阳，涉冬犹盛滋。愿言追昔爱，情款感四时。美人在云端，天路隔无期。夜光照玄阴，长叹念所思。谁谓我无忧，积念发狂痴。"
"古乐府","魏晋","无名氏","兰草自然香，生于大道旁。要镰八九月，俱在束薪中。"
"古诗十九首 其十七","魏晋","无名氏","孟冬寒气至，北风何惨栗。愁多知夜长，仰观众星列。三五明月满，四五蟾兔缺。客从远方来，遗我一书札。上言长相思，下言久离别。置书怀袖中，三岁字不灭。一心抱区区，惧君不识察。"
"古诗十九首 其十一","魏晋","无名氏","回车驾言迈，悠悠涉长道。四顾何茫茫，东风摇百草。所遇无故物，焉得不速老。盛衰各有时，立身苦不早。人生非金石，岂能长寿考。奄忽随物化，荣名以为宝。"
"古诗十九首 其十三","魏晋","无名氏","驱车上东门，遥望郭北墓。白杨何萧萧，松柏夹广路。下有陈死人，杳杳即长暮。潜寐黄泉下，千载永不寤。浩浩阴阳移，年命如朝露。人生忽如寄，寿无金石固。万岁更相送，贤圣莫能度。服食求神仙，多为药所误。不如饮美酒，被服纨与素。"
"古诗十九首 其八","魏晋","无名氏","冉冉孤生竹，结根泰山阿。与君为新婚，兔丝附女萝。兔丝生有时，夫妇会有宜。千里远结婚，悠悠隔山陂。思君令人老，轩车来何迟。伤彼蕙兰花，含英扬光辉。过时而不采，将随秋草萎。君亮执高节，贱妾亦何为。"
"古诗十九首 其七","魏晋","无名氏","明月皎夜光，促织鸣东壁。玉衡指孟冬，众星何历历。白露沾野草，时节忽复易。秋蝉鸣树间，玄鸟逝安适。昔我同门友，高举振六翮。不念携手好，弃我如遗迹。南箕北有斗，牵牛不负轭。良无盘石固，虚名复何益。"
"古诗十九首 其六","魏晋","无名氏","涉江采芙蓉，兰泽多芳草。采之欲遗谁，所思在远道。还顾望旧乡，长路漫浩浩。同心而离居，忧伤以终老。"
"古诗十九首 其十二","魏晋","无名氏","东城高且长，逶迤自相属。回风动地起，秋草萋已绿。四时更变化，岁暮一何速。晨风怀苦心，蟋蟀伤局促。荡涤放情志，何为自结束。燕赵多佳人，美者颜如玉。被服罗裳衣，当户理清曲。音响一何悲，弦急知柱促。驰情整巾带，沉吟聊踯躅。思为双飞燕，衔泥巢君屋。"
"古诗十九首 其三","魏晋","无名氏","青青陵上柏，磊磊涧中石。人生天地间，忽如远行客。斗酒相娱乐，聊厚不为薄。驱车策驽马，游戏宛与洛。洛中何郁郁，冠带自相索。长衢罗夹巷，王侯多第宅。两宫遥相望，双阙百馀尺。极宴娱心意，戚戚何所迫。"
"古诗十九首 其四","魏晋","无名氏","今日良宴会，欢乐难具陈。弹筝奋逸响，新声妙入神。令德唱高言，识曲听其真。齐心同所愿，含意俱未伸。人生寄一世，奄忽若飙尘。何不策高足，先据要路津。无为守贫贱，轗轲长苦辛。"
"古诗十九首 其十","魏晋","无名氏","迢迢牵牛星，皎皎河汉女。纤纤擢素手，札札弄机杼。终日不成章，泣涕零如雨。河汉清且浅，相去复几许。盈盈一水间，脉脉不得语。"
"古诗十九首 其十四","魏晋","无名氏","去者日以疏，来者日以亲。出郭门直视，但见丘与坟。古墓犁为田，松柏摧为薪。白杨多悲风，萧萧愁杀人。思还故里闾，欲归道无因。"
"古诗十九首 其五","魏晋","无名氏","西北有高楼，上与浮云齐。交疏结绮窗，阿阁三重阶。上有弦歌声，音响一何悲。谁能为此曲，无乃杞梁妻。清商随风发，中曲正徘徊。一弹再三叹，慷慨有馀哀。不惜歌者苦，但伤知音稀。愿为双鸿鹄，奋翅起高飞。"
"古诗十九首 其十八","魏晋","无名氏","客从远方来，遗我一端绮。相去万馀里，故人心尚尔。文彩双鸳鸯，裁为合欢被。著以长相思，缘以结不解。以胶投漆中，谁能别离此。"
"古诗十九首 其九","魏晋","无名氏","庭中有奇树，绿叶发华滋。攀条折其荣，将以遗所思。馨香盈怀袖，路远莫致之。此物何足贵，但感别经时。"
"古诗十九首 其十五","魏晋","无名氏","生年不满百，常怀千岁忧。昼短苦夜长，何不秉烛游。为乐当及时，何能待来兹。愚者爱惜费，但为后世嗤。仙人王子乔，难可与等期。"
